Date,Crash,Autumn,Winter,Spring,Weekend,Rained,Day,Attendance_number
2012-07-22,1,0,1,0,1,1.0,6,0.0
2012-07-23,0,0,1,0,0,1.0,0,0.0
2012-07-24,0,0,1,0,0,1.0,1,0.0
2012-07-25,1,0,1,0,0,1.0,2,0.0
2012-07-26,1,0,1,0,0,1.0,3,0.0
2012-07-27,1,0,1,0,0,1.0,4,0.0
2012-07-28,0,0,1,0,1,0.0,5,0.0
2012-07-29,1,0,1,0,1,0.0,6,0.0
2012-07-30,1,0,1,0,0,0.0,0,0.0
2012-07-31,1,0,1,0,0,1.0,1,0.0
2012-08-01,0,0,1,0,0,1.0,2,109.0
2012-08-02,1,0,1,0,0,0.0,3,0.0
2012-08-03,1,0,1,0,0,0.0,4,0.0
2012-08-04,0,0,1,0,1,0.0,5,0.0
2012-08-05,0,0,1,0,1,0.0,6,0.0
2012-08-06,1,0,1,0,0,0.0,0,0.0
2012-08-07,0,0,1,0,0,0.0,1,0.0
2012-08-08,1,0,1,0,0,0.0,2,0.0
2012-08-09,1,0,1,0,0,0.0,3,0.0
2012-08-10,1,0,1,0,0,0.0,4,0.0
2012-08-11,1,0,1,0,1,1.0,5,0.0
2012-08-12,1,0,1,0,1,1.0,6,0.0
2012-08-13,0,0,1,0,0,1.0,0,0.0
2012-08-14,1,0,1,0,0,0.0,1,0.0
2012-08-15,0,0,1,0,0,0.0,2,0.0
2012-08-16,1,0,1,0,0,0.0,3,0.0
2012-08-17,1,0,1,0,0,0.0,4,0.0
2012-08-18,0,0,1,0,1,1.0,5,0.0
2012-08-19,0,0,1,0,1,0.0,6,0.0
2012-08-20,0,0,1,0,0,0.0,0,0.0
2012-08-21,1,0,1,0,0,0.0,1,0.0
2012-08-22,1,0,1,0,0,0.0,2,0.0
2012-08-23,0,0,1,0,0,0.0,3,0.0
2012-08-24,1,0,1,0,0,1.0,4,0.0
2012-08-25,0,0,1,0,1,0.0,5,0.0
2012-08-26,0,0,1,0,1,0.0,6,0.0
2012-08-27,0,0,1,0,0,0.0,0,0.0
2012-08-28,0,0,1,0,0,0.0,1,0.0
2012-08-29,1,0,1,0,0,0.0,2,0.0
2012-08-30,1,0,0,1,0,0.0,3,0.0
2012-08-31,0,0,0,1,0,0.0,4,0.0
2012-09-01,1,0,0,1,1,1.0,5,0.0
2012-09-02,1,0,0,1,1,1.0,6,0.0
2012-09-03,1,0,0,1,0,0.0,0,0.0
2012-09-04,1,0,0,1,0,0.0,1,0.0
2012-09-05,1,0,0,1,0,0.0,2,0.0
2012-09-06,0,0,0,1,0,0.0,3,0.0
2012-09-07,0,0,0,1,0,0.0,4,0.0
2012-09-08,0,0,0,1,1,0.0,5,0.0
2012-09-09,1,0,0,1,1,0.0,6,0.0
2012-09-10,1,0,0,1,0,0.0,0,0.0
2012-09-11,0,0,0,1,0,0.0,1,0.0
2012-09-12,1,0,0,1,0,0.0,2,0.0
2012-09-13,1,0,0,1,0,0.0,3,0.0
2012-09-14,1,0,0,1,0,1.0,4,0.0
2012-09-15,1,0,0,1,1,0.0,5,191.0
2012-09-16,1,0,0,1,1,0.0,6,0.0
2012-09-17,1,0,0,1,0,0.0,0,0.0
2012-09-18,1,0,0,1,0,1.0,1,0.0
2012-09-19,0,0,0,1,0,1.0,2,0.0
2012-09-20,1,0,0,1,0,0.0,3,0.0
2012-09-21,0,0,0,1,0,0.0,4,0.0
2012-09-22,0,0,0,1,1,1.0,5,0.0
2012-09-23,1,0,0,1,1,0.0,6,0.0
2012-09-24,1,0,0,1,0,1.0,0,0.0
2012-09-25,0,0,0,1,0,1.0,1,0.0
2012-09-26,1,0,0,1,0,0.0,2,0.0
2012-09-27,0,0,0,1,0,0.0,3,254.0
2012-09-28,1,0,0,1,0,0.0,4,263.0
2012-09-29,0,0,0,1,1,1.0,5,109.0
2012-09-30,1,0,0,1,1,0.0,6,0.0
2012-10-01,0,0,0,1,0,0.0,0,0.0
2012-10-02,1,0,0,1,0,1.0,1,0.0
2012-10-03,1,0,0,1,0,0.0,2,0.0
2012-10-04,0,0,0,1,0,0.0,3,0.0
2012-10-05,1,0,0,1,0,0.0,4,0.0
2012-10-06,1,0,0,1,1,1.0,5,0.0
2012-10-07,0,0,0,1,1,1.0,6,0.0
2012-10-08,1,0,0,1,0,0.0,0,0.0
2012-10-09,1,0,0,1,0,1.0,1,0.0
2012-10-10,1,0,0,1,0,0.0,2,0.0
2012-10-11,1,0,0,1,0,1.0,3,0.0
2012-10-12,1,0,0,1,0,1.0,4,0.0
2012-10-13,1,0,0,1,1,1.0,5,0.0
2012-10-14,0,0,0,1,1,0.0,6,0.0
2012-10-15,0,0,0,1,0,0.0,0,0.0
2012-10-16,1,0,0,1,0,0.0,1,0.0
2012-10-17,1,0,0,1,0,0.0,2,0.0
2012-10-18,1,0,0,1,0,0.0,3,0.0
